sample_id,gt_label_int,gt_label_name,origin,louvain_cluster
0,1,goldfish,imagenet_r,0
1,1,goldfish,imagenet_sketch,11
2,2,great_white_shark,imagenet,2
3,2,great_white_shark,imagenet_r,3
4,2,great_white_shark,imagenet_r,3
5,2,great_white_shark,imagenet_r,4
6,3,tiger_shark,imagenet_sketch,3
7,4,hammerhead,imagenet_r,624
8,4,hammerhead,imagenet_r,748
9,4,hammerhead,imagenet_r,121
10,5,electric_ray,imagenet,8
11,5,electric_ray,imagenet,9
12,5,electric_ray,imagenet,485
13,5,electric_ray,imagenet,8
14,5,electric_ray,imagenet,11
15,5,electric_ray,imagenet,12
16,5,electric_ray,imagenet,13
17,5,electric_ray,imagenet,14
18,5,electric_ray,imagenet,3
19,5,electric_ray,imagenet,662
20,5,electric_ray,imagenet,16
21,5,electric_ray,imagenet,17
22,5,electric_ray,imagenet_sketch,3
23,6,stingray,imagenet,18
24,6,stingray,imagenet,19
25,6,stingray,imagenet,8
26,6,stingray,imagenet,22
27,6,stingray,imagenet,22
28,6,stingray,imagenet,18
29,6,stingray,imagenet,19
30,6,stingray,imagenet,22
31,6,stingray,imagenet,21
32,6,stingray,imagenet,18
33,6,stingray,imagenet,22
34,6,stingray,imagenet,18
35,6,stingray,imagenet,22
36,6,stingray,imagenet,22
37,6,stingray,imagenet_r,380
38,6,stingray,imagenet_r,24
39,6,stingray,imagenet_r,25
40,6,stingray,imagenet_r,26
41,6,stingray,imagenet_r,27
42,6,stingray,imagenet_r,364
43,6,stingray,imagenet_r,495
44,6,stingray,imagenet_r,30
45,6,stingray,imagenet_r,31
46,6,stingray,imagenet_r,505
47,6,stingray,imagenet_a,9
48,6,stingray,imagenet_a,471
49,6,stingray,imagenet_a,418
50,6,stingray,imagenet_a,161
51,6,stingray,imagenet_a,780
52,6,stingray,imagenet_sketch,653
53,6,stingray,imagenet_sketch,521
54,9,ostrich,imagenet_r,672
55,9,ostrich,imagenet_r,40
56,10,brambling,imagenet,41
57,10,brambling,imagenet_sketch,42
58,10,brambling,imagenet_sketch,43
59,10,brambling,imagenet_sketch,43
60,10,brambling,imagenet_sketch,43
61,10,brambling,imagenet_sketch,43
62,10,brambling,imagenet_sketch,43
63,10,brambling,imagenet_sketch,43
64,10,brambling,imagenet_sketch,43
65,10,brambling,imagenet_sketch,48
66,10,brambling,imagenet_sketch,45
67,10,brambling,imagenet_sketch,45
68,10,brambling,imagenet_sketch,43
69,11,goldfinch,imagenet_a,46
70,11,goldfinch,imagenet_sketch,43
71,11,goldfinch,imagenet_sketch,43
72,11,goldfinch,imagenet_sketch,43
73,11,goldfinch,imagenet_sketch,42
74,11,goldfinch,imagenet_sketch,42
75,14,indigo_bunting,imagenet_sketch,43
76,14,indigo_bunting,imagenet_sketch,43
77,14,indigo_bunting,imagenet_sketch,43
78,14,indigo_bunting,imagenet_sketch,42
79,14,indigo_bunting,imagenet_sketch,789
80,14,indigo_bunting,imagenet_sketch,43
81,14,indigo_bunting,imagenet_sketch,43
82,14,indigo_bunting,imagenet_sketch,48
83,14,indigo_bunting,imagenet_sketch,43
84,14,indigo_bunting,imagenet_sketch,48
85,14,indigo_bunting,imagenet_sketch,43
86,14,indigo_bunting,imagenet_sketch,584
87,14,indigo_bunting,imagenet_sketch,43
88,14,indigo_bunting,imagenet_sketch,43
89,14,indigo_bunting,imagenet_sketch,43
90,14,indigo_bunting,imagenet_sketch,43
91,14,indigo_bunting,imagenet_sketch,43
92,14,indigo_bunting,imagenet_sketch,43
93,14,indigo_bunting,imagenet_sketch,43
94,14,indigo_bunting,imagenet_sketch,48
95,14,indigo_bunting,imagenet_sketch,43
96,14,indigo_bunting,imagenet_sketch,43
97,14,indigo_bunting,imagenet_sketch,43
98,14,indigo_bunting,imagenet_sketch,43
99,14,indigo_bunting,imagenet_sketch,42
100,14,indigo_bunting,imagenet_sketch,48
101,14,indigo_bunting,imagenet_sketch,43
102,14,indigo_bunting,imagenet_sketch,43
103,14,indigo_bunting,imagenet_sketch,43
104,15,robin,imagenet_sketch,43
105,15,robin,imagenet_sketch,43
106,16,bulbul,imagenet,556
107,16,bulbul,imagenet,556
108,16,bulbul,imagenet,50
109,16,bulbul,imagenet_sketch,51
110,16,bulbul,imagenet_sketch,42
111,16,bulbul,imagenet_sketch,51
