louvain_cluster,count,top_gt_class,n_gt_classes
727,46,brass,5
448,44,colobus,12
144,38,clog,5
497,37,long-horned_beetle,6
784,37,ear,2
43,37,indigo_bunting,6
588,37,pitcher,7
515,36,admiral,9
424,35,ladle,7
251,35,American_egret,5
253,34,poncho,10
480,34,red_fox,5
186,33,barn_spider,8
327,33,Gordon_setter,13
320,33,espresso_maker,6
185,33,black_and_gold_garden_spider,4
196,32,lorikeet,8
168,32,rock_python,4
227,32,flatworm,5
90,32,leatherback_turtle,9
236,32,English_foxhound,11
191,32,Crock_Pot,8
781,32,wardrobe,11
87,31,black_grouse,13
687,31,whistle,7
288,31,Leonberg,12
483,31,gazelle,3
594,31,hoopskirt,21
356,30,soft-coated_wheaten_terrier,9
602,30,analog_clock,21
391,30,hog,5
64,30,European_fire_salamander,6
54,30,home_theater,5
519,30,ballpoint,10
663,29,quilt,3
184,29,plane,4
140,29,hognose_snake,6
702,29,park_bench,8
309,29,bloodhound,5
517,28,nipple,2
255,28,grand_piano,8
590,28,amphibian,5
488,28,tiger_cat,7
170,28,flatworm,9
469,27,red_wolf,13
9,27,sea_slug,7
72,27,whiptail,6
653,27,packet,11
436,27,American_chameleon,13
60,27,espresso_maker,4
678,27,swab,4
75,27,whiptail,19
335,26,redbone,7
377,26,Lakeland_terrier,5
246,26,Dungeness_crab,4
319,26,black-and-tan_coonhound,11
375,26,Egyptian_cat,10
63,26,langur,15
407,25,bath_towel,11
4,25,bakery,10
74,25,American_chameleon,4
449,25,schipperke,14
148,25,garter_snake,8
62,25,colobus,9
754,25,mushroom,8
139,25,night_snake,3
154,25,wok,13
197,25,redshank,7
22,24,snorkel,6
65,24,catamaran,12
143,24,rock_python,6
520,24,meat_loaf,7
604,24,shopping_basket,22
364,24,letter_opener,7
97,24,night_snake,8
661,24,pencil_box,9
439,24,Norfolk_terrier,10
468,24,Eskimo_dog,3
559,24,patas,7
770,23,red_wine,7
361,23,tray,13
67,23,banded_gecko,8
18,23,stingray,19
457,23,black-and-tan_coonhound,5
482,23,red_fox,5
605,23,park_bench,13
794,23,packet,11
142,23,hognose_snake,8
138,23,ringneck_snake,6
313,23,bluetick,6
272,23,English_foxhound,8
333,23,Walker_hound,11
744,23,meat_loaf,9
53,22,screen,10
321,22,Gordon_setter,8
268,22,Brabancon_griffon,7
553,22,patas,6
73,22,gong,9
32,22,can_opener,16
225,22,spaghetti_squash,8
486,22,red_fox,4
165,22,coffeepot,3
622,22,cup,16
521,22,meat_loaf,13
70,22,valley,3
592,21,spotlight,7
456,21,collie,5
666,21,promontory,7
243,21,drumstick,12
198,21,titi,7
435,21,potpie,12
471,21,Lakeland_terrier,7
103,21,green_lizard,3
792,21,valley,15
55,21,thunder_snake,5
42,21,bee_eater,10
343,21,Border_collie,9
234,21,Egyptian_cat,12
240,21,garter_snake,10
659,21,ballpoint,7
366,21,toy_poodle,5
2,21,feather_boa,17
201,20,swab,7
429,20,miniature_poodle,11
212,20,tray,8
242,20,custard_apple,8
477,20,giant_schnauzer,10
419,20,wardrobe,7
670,20,reel,3
381,20,bluetick,14
129,20,ringneck_snake,4
462,20,wallet,8
760,20,poncho,6
724,20,fire_screen,6
701,20,hoopskirt,14
726,20,nematode,9
298,20,cup,6
134,20,hognose_snake,7
555,20,langur,3
305,20,bloodhound,8
693,20,hair_slide,11
568,20,squirrel_monkey,4
6,20,pot,6
79,20,bullfrog,3
686,19,drumstick,9
719,19,viaduct,8
35,19,corkscrew,8
738,19,sunscreen,2
454,19,toilet_seat,10
487,19,safety_pin,5
267,19,Japanese_spaniel,5
552,19,langur,6
671,19,carbonara,8
11,19,anemone_fish,9
0,19,squirrel_monkey,6
228,19,nematode,6
187,19,black_widow,3
117,19,Norfolk_terrier,18
